Branch,Refined Hub
K79-COOCHBEHAR BRANCH,K66-SILIGURI-MATIGARA APEX
B18-HASSAN BRANCH,B10-BANGALORE YELAHANKA APEX
J07-HISSAR BRANCH,N05-DELHI SAMALKHA APEX
P28-TEMBHURNI SORTING OFFICE,P01-PUNE APEX
X05-TEZPUR BRANCH,X01-DHARAPUR APEX
C02-PONDICHERRY BRANCH,C42-GUINDY APEX
X32-DIMAPUR BRANCH,X21-DIBRUGARH APEX
X15-JORHAT SORTING OFFICE,X21-DIBRUGARH APEX
C22-VILLUPURAM BRANCH,C42-GUINDY APEX
K27-PURULIA SUB BRANCH,T02-RANCHI APEX
T39-GOPALGUNJ SORTING OFFICE,T01-PATNA APEX
O21-ADIMALY BRANCH,O06-COCHIN APEX
